referrer_source,referrer_name,location_city,ua_form_factor,location_region,referrer_host,day,total_visitors,total_sessions,total_checkouts,total_carts,total_orders_placed
Social,Facebook,Indianapolis,Mobile,Indiana,m.facebook.com,2023-08-21,1,1,0,0,0
Social,Facebook,Shepherdstown,Mobile,West Virginia,m.facebook.com,2023-09-21,1,1,0,0,0
Social,Instagram,Delaplane,Mobile,Virginia,l.instagram.com,2023-08-20,1,1,0,0,0
Social,Facebook,Little Elm,Mobile,Texas,m.facebook.com,2023-07-21,1,1,0,0,0
Social,Instagram,Jasper,Mobile,Alabama,l.instagram.com,2023-09-27,1,1,0,0,0
Social,Facebook,Lincolnton,Mobile,North Carolina,m.facebook.com,2023-07-24,1,1,0,0,0
Social,Instagram,Walmer,Mobile,England,l.instagram.com,2023-08-24,1,1,0,0,0
Social,Facebook,Yorkton,Mobile,Saskatchewan,m.facebook.com,2023-09-28,1,1,0,0,0
Social,Instagram,McDonough,Mobile,Georgia,l.instagram.com,2023-09-18,1,1,1,1,1
Social,Facebook,Fresno,Mobile,California,m.facebook.com,2023-09-01,1,1,0,0,0
Social,Instagram,Whitman,Mobile,Massachusetts,l.instagram.com,2023-08-12,1,1,0,0,0
Social,Facebook,Irwin,Mobile,Pennsylvania,m.facebook.com,2023-08-11,1,1,0,0,0
Social,Instagram,Dearborn Heights,Mobile,Michigan,l.instagram.com,2023-08-20,1,1,0,0,0
Social,Facebook,New Berlin,Mobile,Wisconsin,m.facebook.com,2023-08-27,1,1,0,0,0
Social,Instagram,Horsham,Mobile,England,www.instagram.com,2023-09-28,1,1,0,0,0
Social,Facebook,Janesville,Mobile,Wisconsin,l.facebook.com,2023-08-24,1,1,0,0,0
Social,Instagram,Cranston,Mobile,Rhode Island,l.instagram.com,2023-09-20,1,1,0,0,0
Social,Facebook,Garland,Mobile,Texas,l.facebook.com,2023-09-30,1,1,0,0,0
Social,Instagram,Zeist,Mobile,Utrecht,l.instagram.com,2023-08-19,1,1,0,0,0
Social,Facebook,Bristol,Mobile,Virginia,l.facebook.com,2023-09-20,1,1,0,0,0
Social,Facebook,Zephyrhills,Mobile,Florida,m.facebook.com,2023-08-16,1,1,0,0,0
Social,Facebook,Plano,Mobile,Texas,l.facebook.com,2023-09-05,1,1,0,0,0
Social,Instagram,Mission Viejo,Mobile,California,l.instagram.com,2023-09-14,1,1,0,0,0
Social,Facebook,Sylvania,Mobile,Ohio,m.facebook.com,2023-07-13,1,1,0,0,0
Social,Instagram,Brampton,Mobile,Ontario,l.instagram.com,2023-07-04,1,1,0,0,0
Social,Facebook,Birmingham,Mobile,Alabama,m.facebook.com,2023-08-31,1,1,0,0,0
Social,Instagram,Morrison,Mobile,Tennessee,l.instagram.com,2023-09-20,1,1,0,0,0
Social,Facebook,Greensboro,Mobile,North Carolina,l.facebook.com,2023-09-05,1,1,0,0,0
Social,Instagram,Brookline,Mobile,Massachusetts,l.instagram.com,2023-09-27,1,1,0,0,0
Social,Facebook,Palo Alto,Mobile,California,m.facebook.com,2023-08-02,1,1,0,0,0
Social,Instagram,West Linn,Mobile,Oregon,www.instagram.com,2023-09-13,1,1,0,0,0
Social,Facebook,Roseville,Mobile,California,m.facebook.com,2023-09-05,1,1,0,0,0
Social,Instagram,Bridgeport,Mobile,Nebraska,l.instagram.com,2023-09-04,1,1,0,0,0
Social,Facebook,Birmingham,Mobile,Alabama,lm.facebook.com,2023-09-08,1,1,0,0,0
Social,Instagram,Harpers Ferry,Mobile,West Virginia,instagram.com,2023-09-22,1,1,1,1,0
Social,Facebook,Lakeland,Mobile,Florida,m.facebook.com,2023-09-05,1,1,0,0,0
Social,Instagram,Butuan,Mobile,Caraga,l.instagram.com,2023-09-28,1,1,0,0,0
Social,Facebook,Camden,Mobile,New Jersey,m.facebook.com,2023-08-28,1,1,0,0,0
Social,Instagram,Auburndale,Mobile,Florida,l.instagram.com,2023-09-20,1,1,1,1,1
Social,Facebook,Maple Shade Township,Mobile,New Jersey,m.facebook.com,2023-08-14,1,1,0,0,0
Social,Instagram,Hamilton,Mobile,Ontario,l.instagram.com,2023-08-09,1,1,0,0,0
Social,Facebook,Birmingham,Mobile,Alabama,l.facebook.com,2023-07-26,1,1,0,0,0
Social,Instagram,Hamilton,Mobile,Hamilton city,l.instagram.com,2023-09-22,1,1,0,0,0
Social,Facebook,Manchester,Mobile,New Hampshire,m.facebook.com,2023-07-23,1,1,0,0,0
Social,Instagram,Longmont,Mobile,Colorado,l.instagram.com,2023-08-18,1,1,0,0,0
Social,Facebook,Loudon,Mobile,Tennessee,l.facebook.com,2023-09-18,1,1,0,0,0
Social,Instagram,Kilauea,Mobile,Hawaii,l.instagram.com,2023-07-14,1,1,0,0,0
